Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,11/19/2015,8.1,Copthorne Tara Hotel London Kensington, United Kingdom , Wifi was too week to use effectively ,9,7105, Location was great and the staff couldn t have been more helpful ,14,4,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Plus Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",623 day,51.499046,-0.1917073
10 rue de Vaugirard 6th arr 75006 Paris France,83,5/6/2017,8.3,Le Senat, Japan ,No Negative,0,549, Good location and kind staffs,6,30,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 5 nights ']",89 days,48.8491427,2.3397118
10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,248,4/25/2017,9.2,Staybridge Suites London Stratford, United Kingdom , It needs a swimming pool ,7,945, The staff were amazing and so friendly ,9,1,10.0,"[' Couple ', ' Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",100 day,51.5426351,-0.0073272
130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,8/23/2016,8.3,Radisson Blu Edwardian Grafton, Saudi Arabia , The room is pretty small,6,2826,No Positive,0,1,7.1,"[' Leisure trip ', ' Family with young children ', ' Superior Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",345 day,51.5241386,-0.1380807
39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,326,10/29/2015,8.8,every hotel Piccadilly, United States of America , This is not against the hotel but the Piccadilly Circus area is VERY crowded ,16,1685, Location central to a ton of tourist attractions and especially the theater district Very friendly staff clean and modern rooms good vibe ,24,7,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",644 day,51.5101462,-0.1315061
Lakeside Way Brent London HA9 0BU United Kingdom,1427,3/22/2016,8.8,Hilton London Wembley, United Kingdom , HAD TO PAY FOR PARKING EVEN THO IT WAS REDUICED,11,4305, EVERYTHING WAS FAB ,5,8,9.6,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 1 night ']",499 day,51.5576962,-0.2835263
33 Rue Dauphine 6th arr 75006 Paris France,211,9/22/2016,9.4,H tel D Aubusson, France ,No Negative,0,941, Elegant surroundings Superb service Central location Could not as for a better introduction to Paris,16,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",315 day,48.8547329,2.3395277
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,5/29/2016,8.2,Ramada Apollo Amsterdam Centre, United Kingdom ,No Negative,0,5770, staff and hotel brilliant,5,15,10.0,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",431 day,52.3681299,4.8440847
15 Rue Boissy d Anglas 8th arr 75008 Paris France,91,3/17/2016,8.5,Sofitel Paris Le Faubourg, Indonesia , very noisy and disturbed my stay in sofitel,9,564,No Positive,0,1,2.5,"[' Business trip ', ' Couple ', ' Luxury Room 1 Queensize Bed Twin bedded Room On Request ', ' Stayed 2 nights ']",504 day,48.868414,2.3213247
7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,92,9/23/2015,8.7,St James Hotel Club Mayfair, United Kingdom , Nothing,2,363, Great location really helpful staff Fantastic suite and restaurant ,11,1,10.0,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",680 day,51.5061587,-0.1402803
5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,832,3/1/2016,8.9,Novotel London Wembley, United Kingdom , Nothing My football team lost but that wasnt your fault,11,2924, everything,2,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room ', ' Stayed 1 night ']",520 day,51.5611271,-0.2787261
Piazza Lima 2 Central Station 20124 Milan Italy,298,1/22/2017,8.5,Best Western Plus Hotel Galles, Australia , Shower didn t have enough water but really this is true across Italy,14,3550, Excellent staff very friendly Nice rooms ,8,4,7.9,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",193 day,45.4805847,9.2117326
Passeig de Picasso 26 30 Ciutat Vella 08003 Barcelona Spain,211,5/10/2017,8.9,K K Hotel Picasso, Ukraine , We booked executive double room but it appeared to be small and looked like ordinary 3 hotel room The most disappointing were mattress and pillows of very poor quality ,31,1517, Perfect location very nice and professional staff Breakfast was good but the same every day Great bonus a rooftop pool ,22,4,8.3,"[' Leisure trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",85 days,41.3866227,2.1840722
Albany Street London NW1 3UP United Kingdom,354,12/20/2016,8.3,Melia White House Hotel, United Kingdom , Nothing at all,4,1871, We were there for our anniversary and everything was just perfect got there early but still got our room staff were great hotel is beautiful not our first time at this hotel and wont be our last love it and thanks,42,9,10.0,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",226 day,51.5298597,-0.1444623
Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,325,6/13/2016,8.2,Sunotel Central, United Kingdom , A bar would have been great,7,3870, Breakfast was good as were the staff Hotel was spotless,11,7,9.6,"[' Leisure trip ', ' Group ', ' Basic Double Room ', ' Stayed 4 nights ']",416 day,41.3841429,2.1616896
Mariahilfer Stra e 122 Ecke Kaiserstra e 1 3 07 Neubau 1070 Vienna Austria,190,2/16/2016,8.5,IntercityHotel Wien, Serbia , Small bads There is no room service and if you want to drink something in the room you need to go to take your order down at the lobby level and take by yourself your order Uninformed staff that didn t have any reply on our question concerning some interesting thing in Schonbrunn such as kinder museum or tram timetable ,62,3003, Great location good breakfast,5,4,5.8,"[' Leisure trip ', ' Family with young children ', ' Double Room with Public Transport Ticket ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",534 day,48.1965878,16.3413729
Mariano Cubi 62 64 Sarri St Gervasi 08006 Barcelona Spain,50,1/2/2016,8.3,Aparthotel Mariano Cubi Barcelona, France ,No Negative,0,635, Wonderful establishment and staff Comfortable clean modern and great breakfast buffet at reasonable price Also has an amazing Argentinian Barbecue restaurant nearby that makes is a nice little bonus ,31,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Triple Apartment ', ' Stayed 1 night ', ' Submitted from a mobile device ']",579 day,41.3982129,2.1494179
10 Place De La R publique 11th arr 75011 Paris France,141,9/21/2015,8.0,Crowne Plaza Paris R publique, Russia , Everything Will not recommened to anyone Most awfull hotel in Paris They were not cleaning my room for 2 days I have nevr seen hotel where rooms not cleaned for 2 days My room was already checked in and couple was living in this room Then they changed but nothing else no sorry no complimantary things ,58,1053, Nothing,2,4,3.8,"[' Business trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 2 nights ']",682 day,48.8673199,2.3656296
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,9/25/2015,8.1,Strand Palace Hotel, India , Housekeeping and daily cleaning of the room was shoddy ,11,9568, Location,2,13,7.5,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",678 day,51.5110993,-0.1208673
7 rue Casimir Delavigne 6th arr 75006 Paris France,44,9/17/2015,9.0,H tel Baume, United States of America , The romm was comfortable but a tad small,9,253,No Positive,0,1,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",686 day,48.8501522,2.3392782
Via Felice Casati 18 Central Station 20124 Milan Italy,174,7/16/2017,8.4,Best Western Plus Hotel Felice Casati, Australia , Our shower door was dodgy but that got fixed pretty quickly ,13,1817, It was quiet had great staff a convenient location and the cheapest full breakfast 5 Euro head we had during our 3 week trip ,26,24,9.6,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 2 nights ']",18 days,45.4787357,9.2041131
19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,234,7/4/2017,8.0,Radisson Blu Edwardian Sussex, United Kingdom , only one lift had to wait sometimes,8,1295, breakfast was good especially the staff were very good and helpful,12,6,9.2,"[' Leisure trip ', ' Group ', ' Standard Double Twin Room ', ' Stayed 2 nights ']",30 days,51.5144381,-0.1558337
Viale Bianca Maria 4 Milan City Center 20129 Milan Italy,231,10/19/2016,9.0,Bianca Maria Palace Hotel, Belgium , There is everywhere in the hotel cheap canteen light which gives a cold and uncosy feeling wherever you are Room was ICE cold luckily I could arrange it myself but it took nevertheless 1 5 hours Not so greatif you check in late and only want to go to sleep The bathroom was not clean unfortunately Prices at the bar are exagerated compared to the rest of the booking ,71,2770, Very good breakfast Good staff They are flexible and willing to help Especially at the bar great service ,20,3,6.3,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",288 day,45.4635445,9.2068649
42 rue Croix des Petits Champs 1st arr 75001 Paris France,19,7/11/2017,9.0,H tel Crayon Rouge by Elegancia, Cyprus , There was nothing not to like,7,300, Best location ,4,12,10.0,"[' Leisure trip ', ' Couple ', ' Junior Suite Tendre Ros e ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",23 days,48.8644967,2.3405415
Chelsea Harbour Hammersmith and Fulham London SW10 0XG United Kingdom,326,11/24/2015,8.6,The Chelsea Harbour Hotel, United Kingdom ,No Negative,0,1032, Superb room Excellent facilities Very good staff,8,3,9.6,"[' Leisure trip ', ' Couple ', ' Marina Double Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",618 day,51.4756558,-0.1813888
Capellans 4 Ciutat Vella 08002 Barcelona Spain,387,8/19/2016,8.9,Hotel Barcelona Catedral, United Kingdom , Poor cocktail bar staff Training required for cocktails Lets start with Martini Cocktail Hotel Colon can do it ,20,2695, Front desk staff most helpful ,7,11,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 4 nights ']",349 day,41.384829,2.1751277
6 Rue de l Arcade 8th arr 75008 Paris France,74,8/4/2015,7.2,Amarante Beau Manoir, Netherlands , Never had so worse 4 star hotel Hotel room was half broken curtain couldn t close blistered paint on the wall Air conditioning didn t work ceiling of shower almost came down ,34,759, Only thing positive of this hotel is location Is located in central paris ,15,1,3.3,"[' Leisure trip ', ' Family with young children ', ' Superior room 3 persons ', ' Stayed 3 nights ']",730 day,48.870994,2.3235329
Corso Sempione 91 Fiera Milano City 20149 Milan Italy,122,5/30/2017,8.5,Enterprise Hotel Design Boutique, Switzerland ,No Negative,0,1686, This is my third time at the hotel and once again met my expectations friendly staff clean rooms very nice breakfast and very central I ll be back ,30,25,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room with Spa Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",65 days,45.4867005,9.1575137
Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,589,10/16/2016,7.0,NH Carlton Amsterdam, United Kingdom , Waiting around to check in as our room wasn t ready after 3pm check in and at the price we paid we shouldn t have to wait for our room So very annoying and not a complimentary drink to make it feel better,44,4231, Lovely room and great view looking out onto flower market and canal Very big room ,17,1,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room XL ', ' Stayed 1 night ', ' Submitted from a mobile device ']",291 day,52.3663727,4.8930505
Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,146,9/10/2016,9.2,H10 Port Vell 4 Sup, United States of America ,No Negative,0,1261, Staff was exceptional They went out of their way to be helpful and accommodating One example of many We flew to Rome for the day came back around 1 00 am We wanted to sit on the terrace and drink a bottle of wine The terrace was closed but they opened not only the terrace but also the bottle of wine that was purchased elsewhere for us Need I say more ,73,1,9.6,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 3 nights ']",327 day,41.3815625,2.1838458
Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,9/19/2016,8.4,Hampton by Hilton Amsterdam Centre East, Israel ,No Negative,0,1769, The breakfast was delicious the staff was excellent and very helpfull ,13,4,9.6,"[' Leisure trip ', ' Group ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",318 day,52.3714428,4.9346331
Pla a Urquinaona 2 Eixample 08010 Barcelona Spain,205,7/25/2017,9.1,H10 Urquinaona Plaza, Australia ,No Negative,0,1875, Alexandra at the front desk was so helpful and proactive in helping us as we need to reschedule a new flight So pleasing to see such wonderful customer service when your away from home Thankyou to you all,39,1,9.6,"[' Leisure trip ', ' Group ', ' Double Room with View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",9 days,41.3892128,2.1726015
Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,265,10/28/2016,9.3,Ambassade Hotel, United States of America , Absolutely nothing ,4,1611, Everything was amazing The staff and service was impeccable The location was perfect and the facilities were clean and updated We couldn t ask for a better place to stay ,32,7,10.0,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",279 day,52.369391,4.8871721
335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,4/5/2016,9.0,The Westbridge Hotel, United Kingdom , Nothing to comment ,5,1200, The terrace in the room was gorgeous ,9,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",485 day,51.5373904,-0.0023367
151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,1471,7/1/2016,9.1,M by Montcalm Shoreditch London Tech City, United Kingdom , I thought the continental breakfast was a bit poor in choice no selection of cereals and very fews fruits ,21,4802,No Positive,0,4,10.0,"[' Business trip ', ' Solo traveler ', ' Club Twin Room ', ' Stayed 1 night ']",398 day,51.5278465,-0.0889473
Belgrove Street Camden London WC1H 8AB United Kingdom,392,3/1/2016,8.8,Megaro Hotel, Czech Republic , Rooms can be more quieter ,7,1803, Great location opposite Kings Cross yet quiet Good staff Fantastic restaurant will great ala carte breakfast till very late ,21,9,9.2,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",520 day,51.5294411,-0.1233745
Via Panfilo Castaldi 7 Central Station 20124 Milan Italy,85,8/12/2016,7.7,Mokinba Hotels Baviera, Germany ,No Negative,0,1240, Bicycles for free great way to discover Milan,9,20,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",356 day,45.4782808,9.1997755
Mariahilfer Stra e 78 07 Neubau 1070 Vienna Austria,164,7/7/2016,8.9,NH Collection Wien Zentrum, Colombia , Poor wifi,3,1887, Very clean comfortable good location ,7,1,8.8,"[' Leisure trip ', ' Family with older children ', ' Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",392 day,48.1979979,16.3483314
30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,12/30/2016,8.5,Blakemore Hyde Park, Iceland , The water pressure in the shower was very low It would be nice to have more lifts in the building There were a few times it took forever to get the lift ,34,6596, The staff was very friendly and professional The room was spacious and clean The continental breakfast was quite good ,21,3,9.6,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 4 nights ']",216 day,51.5129736,-0.1837431
Marina 19 21 08005 Barcelona Spain,219,6/3/2016,8.8,Hotel Arts Barcelona, United States of America ,No Negative,0,1350, The breakfast buffet was fabulous the location is amazing the staff phenomenal ,14,7,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']",426 day,41.3865424,2.1969665
Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,1/9/2017,8.5,Amba Hotel Marble Arch, United Arab Emirates , Nothing,2,3980, Clean Very welcome Near from everything Safe Food Big room ,12,9,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",206 day,51.5144004,-0.1565506
Vilana 7 Sarri St Gervasi 08017 Barcelona Spain,30,11/14/2016,8.2,Vilana Hotel, Netherlands , The breakfast buffet was quite poor ,8,642, I really liked the location of the hotel Even though it is situated away from the city centre the neighbourhood is one of the best in Barcelona Classy quiet and clean but there are also quite a few restaurants bakeries and stores close by Also the bed linen and the towels had a very nice small which is a bit rare in most hotels The room size was very good as well ,74,3,8.3,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 7 nights ']",262 day,41.4047934,2.1288527
30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,11/17/2015,8.5,Blakemore Hyde Park, United Kingdom , Except from the bar staff which was very friendly the others where not Breakfast was poor,17,6596, The location,3,1,4.6,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 3 nights ']",625 day,51.5129736,-0.1837431
2 Sylvester Path Hackney London E8 1EN United Kingdom,81,9/21/2016,7.9,Old Ship Inn Hackney, Malta , No on site parking,5,272, Friendly staff,3,3,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe Family Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",316 day,51.5458476,-0.0554113
111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,42,6/19/2017,8.6,Marlin Waterloo, United Kingdom , Where to start First room I was given had been used Wet towel on bed water on floor in bathroom handsoap opened and left lying about Spoke to front desk who said they will upgrade my room and to leave my luggage as they will move it New room didn t seem any different to first one And had been delivered someone else s bags not mine Having to explain that those bags need putting back to the room they came from And mine bringing to me I felt it was hard to relax with such big mistakes being made and promises of upgrades not followed through At check out I found the guy rude and unhelpful I have left the hotel relieved i was only staying 1 night but totally unrelaxed and tired I would unlikely willingly stay in this place again Photos show the wet towel found on my bed and the bathroom wet and used at my check in ,164,218, The location is handy for Westminster or Waterloo ,10,14,4.6,"[' Business trip ', ' Solo traveler ', ' King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45 days,51.4990953,-0.1132136
London County Hall Westminster Bridge Road Lambeth London SE1 7PB United Kingdom,104,3/19/2017,8.5,London Marriott Hotel County Hall, Saudi Arabia , refrigerator was not cold enough breakfast could be better ,11,573, spacious room with comfortable beds great staff and service nice view of big Ben i forgot my phone charger and found it kept well next day ,28,20,9.6,"[' Business trip ', ' Group ', ' Superior Room with View of Big Ben ', ' Stayed 3 nights ']",137 day,51.5016102,-0.1191545
Viale Monte Grappa 12 Garibaldi Station 20124 Milan Italy,75,7/9/2017,8.2,NH Milano Palazzo Moscova, United States of America ,No Negative,0,948, The staff and the complimentary goodies downstairs I e fruit flavored water wine and candy ,17,3,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",25 days,45.480968,9.189977
12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,398,12/15/2016,7.9,Ambassadors Bloomsbury, Finland ,No Negative,0,1521, The room was really cozy and clean Toiletries were of good quality Check in even at 23 00 and check out was very smooth ,26,14,9.2,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",231 day,51.5266618,-0.1296571
129 Bayswater Road London W2 4RJ United Kingdom,153,4/5/2017,7.8,Hilton London Hyde Park, Qatar , Wifi in room was not strong,7,646, Location very good room was very nice having every thing one might need,14,8,9.2,"[' Leisure trip ', ' Solo traveler ', ' Double Hilton Guestroom ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",120 day,51.51046,-0.1875844
2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom,660,5/10/2016,8.4,DoubleTree by Hilton London Victoria, Jersey , Breakfast was a fair price add on Walk around to Sainsbury s instead they do wonderful patisserie ,19,2902, The location makes it ideal for Victoria Stations then buses to rest of City ,16,24,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",450 day,51.49398,-0.143372
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,2/13/2016,8.4,Park Grand London Kensington, United Kingdom ,No Negative,0,4660, Rooms were good and little touches made a difference,10,1,8.8,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 1 night ']",537 day,51.4938468,-0.1917582
22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,3/25/2017,8.9,London Marriott Hotel West India Quay, Taiwan , Good,2,2836, Good,2,6,10.0,"[' Business trip ', ' Family with young children ', ' Deluxe King or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",131 day,51.5072713,-0.0211213
W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,122,9/26/2016,8.0,Hotel Pension Baron am Schottentor, Serbia , The breakfast was rich but too expencive,8,1315, Good location Nice and clean rooms ,8,1,10.0,"[' Business trip ', ' Group ', ' Comfort Double Room ', ' Stayed 4 nights ']",311 day,,
173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,468,6/11/2016,7.7,Park Avenue Baker Street, United Kingdom , Pillows were very poor,5,1913, Good location,3,2,7.9,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",418 day,51.5241452,-0.1609907
21 rue de Dunkerque 10th arr 75010 Paris France,740,3/1/2017,7.4,Mercure Paris Terminus Nord, United Kingdom , No bar open after 9 30pm bathroom needs seriously updating beds uncomfortable and rooms tired ,17,5575, Location to ten train station ,7,2,5.4,"[' Business trip ', ' Solo traveler ', ' Standard Room with 1 Single Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",155 day,48.8794843,2.3556545
12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,1/12/2016,8.9,Arbor City, United Kingdom , No breakfast included The bell on the lift was loud enough to be heard clearly in our room there were 5 rooms between ours and the lift so each time the lift arrived on our floor we were disturbed all through the night Housekeeping was done very late in the afternoon we came back to change for our evening meal and there was a cleaner in our room at around 5 00pm Pillows not great ,77,2197, Brilliant location for exploring both the east end and central Newly done up very clean and well decorated Staff were fantastic we left some items in the safe and didn t realise until we had checked out phoned hotel and staff immediately sorted it out for us very friendly and welcoming as well ,55,1,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",569 day,51.5166755,-0.0697897
1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,2/12/2017,8.4,Park Plaza County Hall London, United Kingdom , Shower creates a bit of a puddle as the door didn t shut properly,15,6117, Hotel was absolutely perfect Concierge staff were fantastic as were front desk which made check in out a breeze We requested a room with a view as it was a special occasion and we had an amazing view with complimentary wine ,43,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",172 day,51.5014001,-0.1160092
46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,231,12/21/2016,8.7,Novotel London Blackfriars, United Kingdom , nothing ,3,1362, I liked the spa and the hotel and rooms are well designed well soundproofed Breakfast was good and the staff were very friendly and helpful I would stay there again if the price is right ,37,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room with 2 Single Sofa Beds ', ' Stayed 1 night ']",225 day,51.5050165,-0.1049831
3 Boulevard Saint Michel 5th arr 75005 Paris France,120,9/16/2016,8.0,Royal Saint Michel, United Kingdom , The lift is tiny for one with little luggage The breakfast room is too small for the amount of guests It was difficult to manoeuvre between tables to get to the buffet On the morning I was leaving there was only one member of staff to serve coffee and lay tables I hardly had time to drink my coffee when it arrived even after allowing 30 mins for breakfast At 16 euros it was overpriced The croissants were not as you d expect in Paris more like the supermarket pre packed ones The breakfast staff were very nice just a shame that the food offerings and breakfast room were a big let down ,115,1193, Great location Comfortable bed and pleasant if not small room ,12,7,8.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",321 day,48.8528364,2.3440803
44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,806,1/23/2017,7.8,Millennium Hotel London Mayfair, United Kingdom , with a swimming pool would definately return ,9,3117,No Positive,0,5,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",192 day,51.510574,-0.1509951
Schubertring 10 12 01 Innere Stadt 1010 Vienna Austria,282,1/3/2017,8.6,Grand Ferdinand Vienna Your Hotel In The City Center, Switzerland , The range of drinks and the staff at the bar could have been much better ,17,2378, Centrally located well designed hotel with nice rooms and excellent restaurants ,13,11,9.2,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",212 day,48.2022415,16.3749336
Rosell n 174 176 Eixample 08036 Barcelona Spain,164,3/17/2016,8.5,Bcn Urban Hotels Gran Rosellon, United Kingdom , Beds are too small and not comfortable Also hotel has really thin walls if you know what I mean limited privacy ,23,2383, Good location very helpful staff lots of good restaurants and cafes around ,14,1,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",504 day,41.4226648,2.1464261
130 134 Southampton Row Camden London WC1B 5AF United Kingdom,299,8/17/2016,8.3,Mercure London Bloomsbury Hotel, Belgium ,No Negative,0,1361, Location next to Russell Square and close to British Museum Comfortable bed Friendly staff ,16,4,7.5,"[' Leisure trip ', ' Family with older children ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",351 day,51.5210085,-0.1230966
45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,338,4/26/2016,9.0,St Martins Lane A Morgans Original, Australia , Bed wasn t particularly comfy bit firm but slept fine No real view from our low level room and a long walk from the elevator Lock to our door failed and we had to wait for security to replace the lock battery but it was all done speedily and apologetically ,52,1241, Great location modern funky hotel relatively spacious room for a hotel in London Friendly staff and easy check in and out Nice bathroom with great water pressure in the shower ,32,32,9.6,"[' Business trip ', ' Group ', ' Deluxe ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",464 day,51.5104696,-0.1265824
Pallars 121 125 Sant Mart 08018 Barcelona Spain,305,8/21/2016,8.0,Hotel Spa Villa Olimpica Suites, Netherlands , We reserved for two persons yet we only got one toothbrush The shower didn t stop dripping for minutes after we finished showering Front desk staff could have been friendlier we didn t even get a Goodbye an I hope you enjoyed or stay or such ,48,3565, We stayed for 4 nights and we liked the price for value the design of the hotel as well as the pool facilities The breakfast was abundant and they had typical Spanish food as well The connection to public transport is convenient and the room was clean every day The area is a bit industrial compared to the other touristic districts but you can get used to it and you ll probably not spend much time there anyway The district is very chilled and silent you mostly see locals which can be nice after getting out of the busy streets of the center There are taxis parking in front of the hotel all the time which is quite convenient ,121,1,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ']",347 day,41.3971434,2.1921947
59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,337,4/16/2016,7.6,New Linden Hotel, Belgium ,No Negative,0,2820, Staff was very friendly and helpfull Room was clean and comfy Neighborhood is calm and fancy Modern elevator Continental breakfast with enough diversified choices ,26,4,8.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",474 day,51.5133832,-0.1926617
22 25 Finsbury Square City Islington London EC2A 1DX United Kingdom,461,2/19/2017,9.2,Montcalm Royal London House City of London, United Kingdom ,No Negative,0,1592, Cool lighting Ability to access Spotify ,8,1,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",165 day,51.5218066,-0.0856081
